Model,Term,p_value,p_FDR_BH,p_Bonferroni
Objective,Word_Count_iv_c,4.67217828368357e-6,1.401653485105071e-5,8.409920910630426e-5
Objective,Has_Image_iv_c,9.375663833756773e-5,2.4108849858231704e-4,0.0016876194900762192
Objective,Tag_Count_iv_c,0.039062873221499136,0.06392106527154405,0.7031317179869845
Objective,LaTeX_Comment_Count_iv_c,0.31806934885859317,0.33677931055615745,1
Objective,Title_Word_Count_iv_c,0.30325049244946256,0.33677931055615745,1
Objective,User_Reputation_iv_c,0.3790301375694576,0.3790301375694576,1
Subjective,Has_Image_iv_c,2.680611858241115e-76,4.825101344834007e-75,4.825101344834007e-75
Subjective,Word_Count_iv_c,2.5466895804521614e-17,1.528013748271297e-16,4.584041244813891e-16
Subjective,User_Reputation_iv_c,1.353105679466656e-13,6.088975557599952e-13,2.435590223039981e-12
Subjective,LaTeX_Comment_Count_iv_c,1.7909865912935346e-4,4.029719830410453e-4,0.0032237758643283623
Subjective,Tag_Count_iv_c,0.0438982954157206,0.0658474431235809,0.7901693174829708
Subjective,Title_Word_Count_iv_c,0.08107137370067134,0.0972856484408056,1
BEVoCI interaction,measuresubjective:Has_Image_iv_c,1.1151417803849438e-55,1.0036276023464494e-54,2.0072552046928989e-54
BEVoCI interaction,measuresubjective:User_Reputation_iv_c,8.546631759823062e-9,3.076787433536302e-8,1.538393716768151e-7
BEVoCI interaction,measuresubjective:Tag_Count_iv_c,0.003925408965864391,0.007850817931728782,0.07065736138555904
BEVoCI interaction,measuresubjective:Word_Count_iv_c,0.010676275780805516,0.01921729640544993,0.1921729640544993
BEVoCI interaction,measuresubjective:Title_Word_Count_iv_c,0.05123865900817899,0.0709458355497863,0.9222958621472218
BEVoCI interaction,measuresubjective:LaTeX_Comment_Count_iv_c,0.06182456620690912,0.07948872798031173,1
